frame,time_s,ego_x_m,ego_y_m,golf_cart_x_m,golf_cart_y_m
20,0.6666666666666666,-37.39690454393508,-0.6397628304947904,-21.044631590699712,-3.6375637914576866
21,0.7,-37.224969168673056,-0.6762231899371317,-20.873637079373964,-3.6192983560423095
22,0.7333333333333333,-37.126730893869635,-0.7125612410555716,-20.766418722869332,-3.603542452286264
23,0.7666666666666667,-37.1847919797892,-0.7510776576936009,-20.788842480276667,-3.5963206908023975
24,0.8,-37.20134278355308,-0.7828351954840155,-20.79222569785294,-3.5814838231852666
25,0.8333333333333334,-37.156838781363604,-0.8150664484057856,-20.696776720102775,-3.56972648740405
26,0.8666666666666667,-37.074767865229155,-0.8457812827845069,-20.57761362540759,-3.554881698780026
27,0.9,-36.92593526557237,-0.8741280725431465,-20.406347845838546,-3.535289959024286
28,0.9333333333333333,-36.658113707607384,-0.9023339008398216,-20.121308567622947,-3.515221506622585
29,0.9666666666666667,-36.36896809332744,-0.9270834599793611,-19.825573966303484,-3.4889073416727108
30,1.0,-36.28290447962764,-0.9552358856987838,-19.74776569216101,-3.4622260429477376
31,1.0333333333333334,-36.22389527093615,-0.9848507190380155,-19.683296385075586,-3.4409665879187603
32,1.0666666666666667,-36.08113898103192,-1.0120316133184069,-19.50361249167736,-3.4244317391687398
33,1.1,-36.01998592975921,-1.038375307649677,-19.424838660234403,-3.404586621520316
34,1.1333333333333333,-35.747233655180786,-1.0584783002808624,-19.14999950565743,-3.3757991908768883
35,1.1666666666666667,-35.69133648771473,-1.07930448497154,-19.11397188331285,-3.344547024836535
36,1.2,-35.61814003873395,-1.0989816038805067,-19.0720943633488,-3.312188865793497
37,1.2333333333333334,-35.44851552382157,-1.1155191118581531,-18.911332071585257,-3.278873061449141
38,1.2666666666666666,-35.1591554539647,-1.1248107634700597,-18.634784951873883,-3.2374586538701555
39,1.3,-34.933001026287265,-1.1404370558887609,-18.3969049393809,-3.20452000916056
40,1.3333333333333333,-34.772890753895524,-1.1561583956751462,-18.266350866933415,-3.1671245016073497
41,1.3666666666666667,-34.67377309032296,-1.1686184544358953,-18.177579342422202,-3.1300222216978693
42,1.4,-34.49771947627879,-1.1791984343142419,-18.017366534369987,-3.089289075267104
43,1.4333333333333333,-34.37759806271731,-1.1902840410810194,-17.912207763293132,-3.050308599961947
44,1.4666666666666666,-34.266511019481165,-1.2033717294892163,-17.822879831200662,-3.0140844523326313
45,1.5,-34.21921758069379,-1.2157712667025211,-17.7880437464309,-2.980148285540663
46,1.5333333333333334,-34.04244720501239,-1.2238517467293923,-17.624150992814037,-2.943091088805213
47,1.5666666666666667,-33.9626803069712,-1.233004380848415,-17.536694576900683,-2.9071077376268573
48,1.6,-33.76262548306086,-1.2373018945192806,-17.300417439637997,-2.871143597674265
49,1.6333333333333333,-33.577949995292755,-1.2409288307146351,-17.113265974517333,-2.8271858884085805
50,1.6666666666666667,-33.54554893230287,-1.2496879113282306,-17.062140922780692,-2.7916090221785974
51,1.7,-33.36959642128264,-1.253186746637718,-16.881702817473315,-2.751174006955427
52,1.7333333333333334,-33.14202392152069,-1.255855248004369,-16.667068172372154,-2.7061261527000604
53,1.7666666666666666,-33.037182314198056,-1.2608682184712,-16.575141382383254,-2.665086912907287
54,1.8,-32.90364905931048,-1.2675546677740552,-16.464851545527726,-2.6275622156047387
55,1.8333333333333333,-32.70757896518729,-1.2689955773406947,-16.26099696058502,-2.595657567828402
56,1.8666666666666667,-32.4874028929621,-1.272926406077464,-16.061671944673158,-2.5526428979579894
57,1.9,-32.361579565567055,-1.2805489348656243,-15.97530808981881,-2.5153734842497117
58,1.9333333333333333,-32.19393937699968,-1.2840392842230413,-15.81949375118506,-2.476551519336211
59,1.9666666666666666,-32.04850607292244,-1.2857290884895927,-15.693158637573298,-2.434514885108455
60,2.0,-31.781552582514237,-1.2806380036243894,-15.480442793215108,-2.3853646336749863
61,2.033333333333333,-31.56354155841598,-1.2750791304439595,-15.287987019560113,-2.3340761598435775
62,2.066666666666667,-31.317090038414033,-1.2683560121649482,-15.097058783365433,-2.284372407784839
63,2.1,-31.0833407295695,-1.2591098269994043,-14.923975229084888,-2.229896163374126
64,2.1333333333333333,-30.974968466328974,-1.290441668784682,-14.860149127250015,-2.2233861354599176
65,2.1666666666666665,-30.706132393994473,-1.2808839882912488,-14.645109558045458,-2.1745886561955072
66,2.2,-30.54566159834884,-1.270605992079723,-14.518812762313122,-2.127392670933401
67,2.2333333333333334,-30.412944101644936,-1.2589490740325775,-14.442318157409847,-2.0794975054233493
68,2.2666666666666666,-30.312543259424668,-1.2493882420889257,-14.39173181020774,-2.0346702861119175
69,2.3,-30.15160813046803,-1.2328782734584225,-14.267115757178438,-1.9847980651364892
70,2.3333333333333335,-30.027523110485166,-1.213796153114457,-14.216280084901653,-1.9228618247585407
71,2.3666666666666667,-29.87369028037074,-1.188026768314924,-14.074386460415138,-1.871329323865452
72,2.4,-29.646024960862498,-1.1553047202795867,-13.843942567734501,-1.8165250109769373
73,2.433333333333333,-29.541193323651253,-1.1238383241372625,-13.776770521787677,-1.7620008214138707
74,2.466666666666667,-29.394843217663922,-1.0857173587015183,-13.677477843505178,-1.706335012893601
75,2.5,-29.19756494833105,-1.0423843877899583,-13.50119314878355,-1.6473177092181557
76,2.533333333333333,-29.085507615102625,-0.9943416091314096,-13.434536095982864,-1.5890427631378001
77,2.566666666666667,-28.935087946205336,-0.9407692244031656,-13.309264285579678,-1.5263706799110002
78,2.6,-28.72122032823405,-0.8810163874447262,-13.132019558810212,-1.4621053749424007
79,2.6333333333333333,-28.491575856299445,-0.7794802849417432,-12.943536029545493,-1.3584311151122939
80,2.6666666666666665,-28.271412725569945,-0.7033928654946079,-12.75913624897679,-1.2874247716662843
81,2.7,-28.060242417402076,-0.6224270124472809,-12.608748217228444,-1.2126077274627622
82,2.7333333333333334,-27.90474958162135,-0.5342608241586964,-12.472742201868913,-1.1383854637681292
83,2.7666666666666666,-27.668946008924266,-0.43611631269033124,-12.261511175929463,-1.0604604670960036
84,2.8,-27.4898144216738,-0.33206413835572035,-12.111150353406266,-0.9831308133135275
85,2.8333333333333335,-27.285306261551383,-0.22570693933543987,-11.917667010292767,-0.9078581363903455
86,2.8666666666666667,-27.071737576958665,-0.11583739354969112,-11.775489355476331,-0.8278063506587175
87,2.9,-26.896787512327748,-0.002697661751318727,-11.66420723174939,-0.7456406919137348
88,2.933333333333333,-26.680318203933474,0.11189358840181729,-11.504624448756214,-0.6660882569145145
89,2.966666666666667,-26.537618707228113,0.2312051526706043,-11.398763228328056,-0.5841240964012776
90,3.0,-26.388489097496656,0.3381236559189662,-11.291052783774155,-0.5174388797836111
91,3.033333333333333,-26.12487025639279,0.4550576689903718,-11.074323609555835,-0.4438414445128881
92,3.066666666666667,-25.89821892894043,0.5754768536802316,-10.908651561693365,-0.3697002215380475
93,3.1,-25.7830007883831,0.6858140797508682,-10.86128431497376,-0.30386570916559774
94,3.1333333333333333,-25.581282985201618,0.8060488599466559,-10.727818920041654,-0.23094747312445285
95,3.1666666666666665,-25.367904465398805,0.9279153912662387,-10.577307897023402,-0.1530998102822666
96,3.2,-25.198381878282312,1.0481666994725627,-10.46081153807145,-0.07984126759874055
97,3.2333333333333334,-24.98325286800757,1.1674519248264474,-10.306870759177864,-0.008676746240459776
98,3.2666666666666666,-24.801969176420442,1.2858654907183973,-10.185030248683429,0.06463062784020379
99,3.3,-24.61076982687089,1.3993924513517368,-10.068191978969693,0.13459108082554172
100,3.3333333333333335,-24.438231168157778,1.5156608626241932,-9.981356750326192,0.2082982560314235
101,3.3666666666666667,-24.292700089277776,1.6300005578573036,-9.888606318092837,0.2754539608917548
102,3.4,-24.145980526563626,1.7425821983517908,-9.793986609099782,0.3398345268049425
103,3.433333333333333,-23.979022380771237,1.8579392810422477,-9.683456828302868,0.40707148536961824
104,3.466666666666667,-23.808179998798273,1.9692862579947255,-9.55757142258985,0.4677360663317047
105,3.5,-23.618542944841032,2.0892778550774063,-9.422860313215557,0.5397027014016291
106,3.533333333333333,-23.49887625323687,2.1985565851697726,-9.37304380338677,0.6042164337910483
107,3.566666666666667,-23.388906986244297,2.3067087571430247,-9.332671752333068,0.6692303793536498
108,3.6,-23.225173356319168,2.421850686072565,-9.218898795343511,0.7362089957674773
109,3.6333333333333333,-23.168176504449136,2.5339277972897323,-9.226532521038948,0.8045973962535096
110,3.6666666666666665,-23.03856136149688,2.633779465441982,-9.163735572838457,0.8606937684233877
111,3.7,-22.899856850250654,2.7355083693568605,-9.04489742309767,0.9104299104798876
112,3.7333333333333334,-22.74632083228064,2.8309739881075187,-8.920530557824659,0.9546874542071961
113,3.7666666666666666,-22.644406513714934,2.932745557731476,-8.842695570167697,1.0054289830782293
114,3.8,-22.59014965614502,3.039986487426336,-8.825810429759473,1.0665576900060925
115,3.8333333333333335,-22.49152816715513,3.138935402631164,-8.759830112570532,1.115159346009433
116,3.8666666666666667,-22.392099868149895,3.230817333862806,-8.701933308823678,1.1618160383419642
117,3.9,-22.271191275973084,3.3200980011571777,-8.63997183967349,1.2090580611907478
118,3.933333333333333,-22.19793443455642,3.4128277780456764,-8.598927347353195,1.2546379905625376
119,3.966666666666667,-22.054382767814587,3.496268162890866,-8.497986706420603,1.296018927959787
120,4.0,-21.971453271042833,3.5839860249446946,-8.439396500071474,1.3405172350543242
121,4.033333333333333,-21.89350675785041,3.674873961718081,-8.35181476503338,1.3807124366058758
122,4.066666666666666,-21.800016104130556,3.75982261195711,-8.30973853560631,1.4273759599284022
123,4.1,-21.70792917786339,3.844170958881489,-8.28590015316549,1.478005321076603
124,4.133333333333334,-21.567817627223164,3.9208727415925417,-8.212097894095958,1.5241140044630122
125,4.166666666666667,-21.483121097582043,4.005953417954653,-8.21535960260459,1.581064258394326
126,4.2,-21.366228664936013,4.0824080913788015,-8.209385230561479,1.636235640200539
127,4.233333333333333,-21.26249567641179,4.160885829451193,-8.219061949416956,1.6920206367440511
128,4.266666666666667,-21.094745945384485,4.228447394845436,-8.169439595294806,1.744466015074699
129,4.3,-20.903144057117963,4.2893220573288655,-8.077370546124737,1.7795707917665986
130,4.333333333333333,-20.755396261003717,4.35634439374117,-8.020581811471713,1.823183856307208
131,4.366666666666666,-20.602994198539847,4.427395739886372,-7.957192471883971,1.8655995862729902
132,4.4,-20.466910417679944,4.4991881754464425,-7.913068768582587,1.9109323987206865
133,4.433333333333334,-20.31194210971341,4.56538160979913,-7.8469663647293455,1.9528532922577297
134,4.466666666666667,-20.207139023048647,4.637738642550818,-7.856413937800237,2.003540027819995
135,4.5,-20.05674213385403,4.701443319772998,-7.8059556899903395,2.0413507549942724
136,4.533333333333333,-19.86274750980402,4.75010567885286,-7.714270195842044,2.0667520251043023
137,4.566666666666666,-19.695196281932002,4.807544120048793,-7.5794834227108225,2.087039054959105
138,4.6,-19.533190490297518,4.858384235226822,-7.454283112254792,2.1006966585145563
139,4.633333333333334,-19.372635269449212,4.910599497724248,-7.274569723393624,2.102061482189627
140,4.666666666666667,-19.220404185677715,4.962948040304203,-7.136767765999069,2.117248726352968
141,4.7,-19.066078589745164,5.0110321616755895,-6.982993478401513,2.1212567837023193
142,4.733333333333333,-18.908188219103913,5.055528729887584,-6.833943049128603,2.126330378175338
143,4.766666666666667,-18.775960910291563,5.105677703957299,-6.725589813427231,2.1325496610749055
144,4.8,-18.64977559874006,5.152967904325133,-6.625058444279601,2.147382868280724
145,4.833333333333333,-18.505343367735282,5.193689687195455,-6.4985926399830145,2.1526973296410916
146,4.866666666666666,-18.379072074189576,5.232765628878564,-6.415358957197036,2.1649266337727235
147,4.9,-18.228446333571586,5.261108292051418,-6.293583244079404,2.1651972826533497
148,4.933333333333334,-18.097642479815768,5.295394484878388,-6.221006890972406,2.1810772965184264
