frame_id,light_x_cam_m,light_y_cam_m,light_z_cam_m,x_m,y_m,original_depth_valid
108,22.285265668233233,-6.9743080139160165,3.5661953131357835,-23.225173356319168,2.421850686072565,1
109,22.277316474914546,-6.848822037378947,3.5884862105051685,-23.168176504449136,2.5339277972897323,1
110,22.19784501393636,-6.705802011489868,3.5987923145294194,-23.03856136149688,2.633779465441982,1
111,22.110770861307778,-6.557458480199177,3.610029633839926,-22.899856850250654,2.7355083693568605,1
112,22.00759741465251,-6.408992211023966,3.6174939314524335,-22.74632083228064,2.8309739881075187,1
113,21.95432211558024,-6.275179942448934,3.630122820536296,-22.644406513714934,2.932745557731476,1
114,21.946973546346026,-6.155219856897989,3.6521773894627887,-22.59014965614502,3.039986487426336,1
115,21.89560394287109,-6.0253035386403395,3.6647782882054645,-22.49152816715513,3.138935402631164,1
116,21.840694681803384,-5.901556825637817,3.676124723752339,-22.392099868149895,3.230817333862806,1
117,21.76503130594889,-5.771691592534383,3.683697565396626,-22.271191275973084,3.3200980011571777,1
118,21.734489313761397,-5.657531340916951,3.698950282732645,-22.19793443455642,3.4128277780456764,1
119,21.635721333821614,-5.524061250686644,3.7026704231897987,-22.054382767814587,3.496268162890866,1
120,21.59431266784668,-5.410672330856323,3.7155397176742553,-21.971453271042833,3.5839860249446946,1
121,21.558735020955403,-5.296346012751261,3.727642814318339,-21.89350675785041,3.674873961718081,1
122,21.506532033284504,-5.181317218144736,3.737548438707987,-21.800016104130556,3.75982261195711,1
123,21.455380249023435,-5.067395575841269,3.746788970629374,-21.70792917786339,3.844170958881489,1
124,21.357102330525713,-4.941475518544515,3.7494630654652914,-21.567817627223164,3.9208727415925417,1
125,21.313026682535806,-4.829808330535888,3.7602365652720136,-21.483121097582043,4.005953417954653,1
126,21.235971450805664,-4.71331090927124,3.765100129445394,-21.366228664936013,4.0824080913788015,1
127,21.17180086771647,-4.600167528788249,3.7730355739593504,-21.26249567641179,4.160885829451193,1
128,21.04452476501465,-4.471694453557332,3.77015061378479,-21.094745945384485,4.228447394845436,1
129,20.892698542277017,-4.339915068944296,3.7649185339609783,-20.903144057117963,4.2893220573288655,1
130,20.78357531229655,-4.219858725865683,3.7670634269714354,-20.755396261003717,4.35634439374117,1
131,20.671774037679036,-4.094259532292684,3.768022505442302,-20.602994198539847,4.427395739886372,1
132,20.575250244140623,-3.9744425614674888,3.771828921635946,-20.466910417679944,4.4991881754464425,1
133,20.45916862487793,-3.8522877216339118,3.769908746083578,-20.31194210971341,4.56538160979913,1
134,20.391591389973957,-3.74434076944987,3.7746562163035082,-20.207139023048647,4.637738642550818,1
135,20.27872174580892,-3.62628165880839,3.7707870006561284,-20.05674213385403,4.701443319772998,1
136,20.119861857096353,-3.504768387476603,3.7584178288777674,-19.86274750980402,4.75010567885286,1
137,19.988758850097657,-3.3856693108876548,3.750788052876791,-19.695196281932002,4.807544120048793,1
138,19.860134633382163,-3.2748252550760903,3.7431029319763187,-19.533190490297518,4.858384235226822,1
139,19.733386993408203,-3.1632929801940914,3.7344451109568277,-19.372635269449212,4.910599497724248,1
140,19.61433563232422,-3.054935026168823,3.728515561421712,-19.220404185677715,4.962948040304203,1
141,19.491672134399415,-2.949663289388021,3.722391939163208,-19.066078589745164,5.0110321616755895,1
142,19.36431452433268,-2.8462739626566567,3.710610850652059,-18.908188219103913,5.055528729887584,1
143,19.262760162353512,-2.747858047485351,3.707562987009684,-18.775960910291563,5.105677703957299,1
